GeneSymbol	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
KIAA1267	16.80536575	29.72507643	13.27536779	21.79304398	15.44814766	11.59615249	9.863967909	10.27919141	9.833278002	11.50908377	23.23987198	16.77110631	28.27323491	11.6184959	19.95286408	14.34008931	14.26680377
TTLL6	0.502055379	1.786309619	0.640420412	0.360923908	0.758809873	0.548820848	0.298152512	0.422158214	0.539813133	0.676236836	0.471028759	0.752128415	1.017043158	1.042107473	1.475931337	0.639208273	1.074019697
C17orf47	0.023698985	0.111636023	0.033042484	0.072794562	0.064749378	0.099803723	0.126665721	0.106431099	0.048882492	0.133954336	0.127961278	0.174627255	0.185820862	0.106707853	0.04067675	0.143246219	0.092836498
FLJ40504	0.0	0.0	0.0	0.0	0.0	0.354345869	0.0	0.0	0.433884339	0.0	0.378597683	0.0	0.471245337	0.0	0.0	0.254292646	0.0
NEK8	0.782867454	1.959123433	0.864118975	0.475926411	0.980337331	0.989068787	0.610203085	0.732463195	0.504616975	0.774378563	0.587089847	0.93472707	1.242288899	0.881241396	0.825820243	0.729511508	0.724091873
PIGW	1.767258186	1.051555648	1.763714371	1.285665868	1.245226458	1.472825346	1.524552314	1.888094129	1.688311851	1.577228771	1.422960681	1.827668479	1.375267003	1.912548054	1.660337006	1.214377128	1.336001178
C17orf78	1.345317443	0.745556336	2.611294717	1.012823594	1.657632649	0.777623972	0.673612133	0.758181839	1.142608598	1.252451503	1.281875758	1.706166724	2.3047079	1.148148288	1.448842185	0.733442134	2.066681741
GSDMA	0.022384171	0.0	0.0	0.0	0.030578549	0.169679945	0.013293148	0.020105265	0.046170503	0.050609032	0.0	0.128285871	0.0	0.0	0.134470048	0.067649476	0.0
SLC13A5	1.912678887	2.320031679	1.32004947	0.910632114	2.038039185	0.765213587	1.567501622	1.125258146	0.996155282	0.940563999	0.946678101	1.088345153	0.792702958	1.743948814	2.174925844	0.878636181	2.022995133
TMEM102	0.237561733	0.391668953	0.231855536	0.729702249	1.070942832	0.480213899	0.141079312	0.106687931	0.196001806	0.187988618	0.427566882	0.388997007	1.144225525	0.641792117	0.326199266	0.445134859	0.71346402
